village,year,mean_annual_precip
Eleng'ata Dapash,2016,440.75
Eleng'ata Dapash,2017,249.75
Eleng'ata Dapash,2018,626.25
Eleng'ata Dapash,2019,580
Eleng'ata Dapash,2020,683
Engaruka Chini,2016,481.2380952380952
Engaruka Chini,2017,238.95238095238096
Engaruka Chini,2018,647.6190476190476
Engaruka Chini,2019,601.9047619047619
Engaruka Chini,2020,678.4285714285714
Kakoi,2016,700
Kakoi,2017,347
Kakoi,2018,842.5
Kakoi,2019,728
Kakoi,2020,878
Katikati,2016,609.2857142857143
Katikati,2017,181.78571428571428
Katikati,2018,814.5714285714286
Katikati,2019,733
Katikati,2020,867.1428571428571
Kimana,2016,732.9285714285714
Kimana,2017,377.7142857142857
Kimana,2018,1047.4642857142858
Kimana,2019,862.2142857142857
Kimana,2020,910.7857142857144
Kitwai A,2016,538.6923076923077
Kitwai A,2017,268.0153846153846
Kitwai A,2018,671.2461538461539
Kitwai A,2019,704.2923076923076
Kitwai A,2020,787.876923076923
Losirwa,2016,635.2222222222222
Losirwa,2017,490
Losirwa,2018,944.8888888888888
Losirwa,2019,790.7777777777778
Losirwa,2020,954.7777777777778
Matale A,2016,338.3333333333333
Matale A,2017,169.5
Matale A,2018,765.6666666666666
Matale A,2019,445
Matale A,2020,558.8333333333334
Nadonjukin,2016,494.8666666666667
Nadonjukin,2017,189.46666666666667
Nadonjukin,2018,829.2666666666667
Nadonjukin,2019,682
Nadonjukin,2020,693.5333333333333
Ngoswaki,2016,286.6666666666667
Ngoswaki,2017,141
Ngoswaki,2018,730.2222222222222
Ngoswaki,2019,397.77777777777777
Ngoswaki,2020,583.2222222222222
Olchoro Onyokie,2016,432.6666666666667
Olchoro Onyokie,2017,249.33333333333337
Olchoro Onyokie,2018,766
Olchoro Onyokie,2019,547
Olchoro Onyokie,2020,629.6666666666666
Sangaiwe,2016,732
Sangaiwe,2017,333
Sangaiwe,2018,839.5
Sangaiwe,2019,897.5
Sangaiwe,2020,1103.5
